year	text	group	kw	sentence
2010	1	媒体/公共机构	newspaper	Yet a considerable number of the most significant collections of criticism published in the 20th century consisted in large part of newspaper reviews.
2010	1	媒体/公共机构	newspaper	We are even farther removed from the unfocused newspaper reviews published in England between the turn of the 20th century and the eve of World War II, at a time when newsprint was dirt-cheap and stylish arts criticism was considered an ornament to the publications in which it appeared.
2010	1	国家指称	England	We are even farther removed from the unfocused newspaper reviews published in England between the turn of the 20th century and the eve of World War II, at a time when newsprint was dirt-cheap and stylish arts criticism was considered an ornament to the publications in which it appeared.
2010	1	媒体/公共机构	press	These men believed in journalism as a calling, and were proud to be published in the daily press.
2010	1	国家指称	England	During his lifetime, though, he was also one of England’s foremost classical-music critics, and a stylist so widely admired that his Autobiography (1947) became a best-seller.
2012	2	国家指称	England	The company, a major energy supplier in New England, provoked justified outrage in Vermont last week when it announced it was reneging on a longstanding commitment to abide by the state’s strict nuclear regulations.
2012	4	国家指称	Britain	In Britain, more than half of public-sector workers but only about 15% of private-sector ones are unionized.
2012	4	国家指称	Britain	Britain’s Labor Party, as its name implies, has long been associated with trade unionism.
2012	4	福利/NHS	benefits	But the real gains come in benefits and work practices.
2013	2	媒体/公共机构	press	Unable to tell whether someone really objects to behavioural ads or whether they are sticking with Microsoft’s default, some may ignore a DNT signal and press on anyway.
2013	3	撒切尔/市场	strike	Now utopia has grown unfashionable, as we have gained a deeper appreciation of the range of threats facing us, from asteroid strike to epidemic flu and to climate change.
2014	1	福利/NHS	benefits	“We’re doing these things because we know they help people stay off benefits and help those on benefits get into work faster.” Help?
2014	1	福利/NHS	benefits	What motivated him, we were to understand, was his zeal for “fundamental fairness”—protecting the taxpayer, controlling spending and ensuring that only the most deserving claimants received their benefits.
2014	1	福利/NHS	welfare	The principle of British welfare is no longer that you can insure yourself against the risk of unemployment and receive unconditional payments if the disaster happens.
2014	1	国家指称	British	The principle of British welfare is no longer that you can insure yourself against the risk of unemployment and receive unconditional payments if the disaster happens.
2014	1	脱欧	the EU	Instead, the claimant receives a time-limited “allowance,” conditional on actively seeking a job; no entitlement and no insurance, at £71.70 a week, one of the least generous in the EU.
2014	2	国家指称	Britain	After all, other countries, such as Australia and Britain, have started liberalizing their legal professions.
2014	4	福利/NHS	benefits	The commission ignores that for several decades America’s colleges and universities have produced graduates who don’t know the content and character of liberal education and are thus deprived of its benefits.
2015	1	脱欧	Euro	King Juan Carlos of Spain once insisted “kings don’t abdicate, they die in their sleep.” But embarrassing scandals and the popularity of the republican left in the recent Euro-elections have forced him to eat his words and stand down.
2015	1	制度	monarchy	So, does the Spanish crisis suggest that monarchy is seeing its last days?
2015	1	制度	monarchy	The Spanish case provides arguments both for and against monarchy.
2015	1	制度	monarch	And so, the Middle East excepted, Europe is the most monarch-infested region in the world, with 10 kingdoms (not counting Vatican city and Andorra).
2015	1	阶级/精英教育	inequality	At a time when Thomas Piketty and other economists are warning of rising inequality and the increasing power of inherited wealth, it is bizarre that wealthy aristocratic families should still be the symbolic heart of modern democratic states.
2015	1	国家指称	British	While Europe’s monarchies will no doubt be smart enough to survive for some time to come, it is the British royals who have most to fear from the Spanish example.
2015	1	制度	monarchy	It is only the Queen who has preserved the monarchy’s reputation with her rather ordinary (if well-heeled) granny style.
2015	1	制度	monarchy	Charles ought to know that as English history shows, it is kings, not republicans, who are the monarchy’s worst enemies.
2015	2	阶级/精英教育	establishment	Orin Kerr, a law professor, compares the explosion and accessibility of digital information in the 21st century with the establishment of automobile use as a virtual necessity of life in the 20th: The justices had to specify novel rules for the new personal domain of the passenger car then; they must sort out how the Fourth Amendment applies to digital information now.
2015	3	阶级/精英教育	establishment	Asked whether any particular papers had impelled the change, McNutt said: “The creation of the ‘statistics board’ was motivated by concerns broadly with the application of statistics and data analysis in scientific research and is part of Science’s overall drive to increase reproducibility in the research we publish.” Giovanni Parmigiani, a biostatistician at the Harvard School of Public Health, a member of the SBoRE group, says he expects the board to “play primarily an advisory role.” He agreed to join because he “found the foresight behind the establishment of the SBoRE to be novel, unique and likely to have a lasting impact.
2016	1	制度	parliament	The parliament also agreed to ban websites that “incite excessive thinness” by promoting extreme dieting.
2016	2	国家指称	Britain	In Britain this has had a curious result.
2016	2	福利/NHS	NHS	While polls show Britons rate “the countryside” alongside the royal family, Shakespeare and the National Health Service (NHS) as what makes them proudest of their country, this has limited political support.
2016	2	福利/NHS	National Health Service	While polls show Britons rate “the countryside” alongside the royal family, Shakespeare and the National Health Service (NHS) as what makes them proudest of their country, this has limited political support.
2016	2	国家指称	England	Its Campaign to Protect Rural England struck terror into many local Conservative parties.
2016	2	撒切尔/市场	free market	This is not a free market but a biased one.
2016	2	国家指称	Britain	After the Netherlands, Britain is Europe’s most crowded country.
2016	3	国家指称	Britain	The largest firms in America and Britain together spend more than $15 billion a year on CSR, according to an estimate by EPG, a consulting firm.
2016	3	福利/NHS	benefits	Nor does it reveal how much companies are banking on the halo effect, rather than the other possible benefits, when they decide their do-gooding policies.
2016	4	媒体/公共机构	newspaper	The infrastructure required to make a physical newspaper—printing presses, delivery trucks—isn’t just expensive; it’s excessive at a time when online-only competitors don’t have the same set of financial constraints.
2016	4	帝国/殖民	legacy	“I would raise prices and make it into more of a legacy product.” The most loyal customers would still get the product they favor, the idea goes, and they’d feel like they were helping sustain the quality of something they believe in.
2016	4	帝国/殖民	legacy	“It’s a really hard thing to do and it’s a tremendous luxury that BuzzFeed doesn’t have a legacy business,” Peretti remarked.
2017	2	制度	monarch	“The ancient Hawaiians were astronomers,” wrote Queen Liliuokalani, Hawaii’s last reigning monarch, in 1897.
2017	3	脱欧	European Union	Kennedy once said that a country’s GDP measures “everything except that which makes life worthwhile.” With Britain voting to leave the European Union, and GDP already predicted to slow as a result, it is now a timely moment to assess what he was referring to.
2017	3	国家指称	Britain	Kennedy once said that a country’s GDP measures “everything except that which makes life worthwhile.” With Britain voting to leave the European Union, and GDP already predicted to slow as a result, it is now a timely moment to assess what he was referring to.
2017	3	国家指称	the UK	By most recent measures, the UK’s GDP has been the envy of the Western world, with record low unemployment and high growth figures.
2017	3	脱欧	Brexit	If everything was going so well, then why did over 17 million people vote for Brexit, despite the warnings about what it could do to their country’s economic prospects?
2017	3	国家指称	the UK	Across the 163 countries measured, the UK is one of the poorest performers in ensuring that economic growth is translated into meaningful improvements for its citizens.
2017	3	国家指称	the UK	The sharp hit to growth predicted around the world and in the UK could lead to a decline in the everyday services we depend on for our well-being and for growth.
2017	4	福利/NHS	benefits	The court did suggest that accepting favors in return for opening doors is “distasteful” and “nasty.” But under anti-bribery laws, proof must be made of concrete benefits, such as approval of a contract or regulation.
2018	1	阶级/精英教育	middle class	Among the annoying challenges facing the middle class is one that will probably go unmentioned in the next presidential campaign: What happens when the robots come for their jobs?
2018	1	阶级/精英教育	middle class	About half of U.S. jobs are at high risk of being automated, according to a University of Oxford study, with the middle class disproportionately squeezed.
2018	1	阶级/精英教育	Oxford	About half of U.S. jobs are at high risk of being automated, according to a University of Oxford study, with the middle class disproportionately squeezed.
2018	1	阶级/精英教育	grammar school	Curriculums—from grammar school to college—should evolve to focus less on memorizing facts and more on creativity and complex communication.
2018	1	阶级/精英教育	inequality	Taxes on low-wage labor need to be cut, and wage subsidies such as the earned income tax credit should be expanded: This would boost incomes, encourage work, reward companies for job creation, and reduce inequality.
2018	2	阶级/精英教育	Oxford	During the 2016 presidential campaign, nearly a quarter of web content shared by Twitter users in the politically critical state of Michigan was fake news, according to the University of Oxford.
2018	2	国家指称	Britain	A 2014 survey conducted in Australia, Britain, and the United States by the University of Wisconsin-Madison found that young people’s reliance on social media led to greater political engagement.
2018	3	福利/NHS	NHS	Any fair-minded assessment of the dangers of the deal between Britain’s National Health Service (NHS) and DeepMind must start by acknowledging that both sides mean well.
2018	3	福利/NHS	National Health Service	Any fair-minded assessment of the dangers of the deal between Britain’s National Health Service (NHS) and DeepMind must start by acknowledging that both sides mean well.
2018	3	国家指称	Britain	Any fair-minded assessment of the dangers of the deal between Britain’s National Health Service (NHS) and DeepMind must start by acknowledging that both sides mean well.
2018	3	福利/NHS	NHS	It is against that background that the information commissioner, Elizabeth Denham, has issued her damning verdict against the Royal Free hospital trust under the NHS, which handed over to DeepMind the records of 1.6 million patients in 2015 on the basis of a vague agreement which took far too little account of the patients’ rights and their expectations of privacy.
2018	3	福利/NHS	NHS	The NHS trust has mended its ways.
2018	3	福利/NHS	NHS	Further arrangements—and there may be many—between the NHS and DeepMind will be carefully scrutinised to ensure that all necessary permissions have been asked of patients and all unnecessary data has been cleaned.
2018	3	福利/NHS	NHS	Ms Denham chose to concentrate the blame on the NHS trust, since under existing law it “controlled” the data and DeepMind merely “processed” it.
2019	1	国家指称	Britain	Financial regulators in Britain have imposed a rather unusual rule on the bosses of big banks.
2019	1	国家指称	England	“Short-termism” or the desire for quick profits, has worsened in publicly traded companies, says the Bank of England’s top economist, Andrew Haldane.
2019	1	国家指称	Britain	The average time for holding a stock in both the United States and Britain, he notes, has dropped from seven years to seven months in recent decades.
2019	1	国家指称	Britain	Britain’s new rule is a reminder to bankers that society has an interest in their performance, not just for the short term but for the long term.
2019	3	国家指称	Britain	Britain is setting up a data ethics center.
2019	3	帝国/殖民	India	India released its AI ethics strategy this spring.
2020	1	制度	MPs	A group of Labour MPs, among them Yvette Cooper, are bringing in the new year with a call to institute a UK “town of culture” award.
2020	1	制度	the crown	Cooper and her colleagues argue that the success of the crown for Hull, where it brought in £220m of investment and an avalanche of arts, ought not to be confined to cities.
2020	1	国家指称	Britain	Britain’s towns, it is true, are not prevented from applying, but they generally lack the resources to put together a bid to beat their bigger competitors.
2020	1	国家指称	Britain	Some might see the proposal as a booby prize for the fact that Britain is no longer able to apply for the much more prestigious title of European capital of culture, a sought-after award bagged by Glasgow in 1990 and Liverpool in 2008.
2020	1	脱欧	Brexit	A cynic might speculate that the UK is on the verge of disappearing into an endless fever of self-celebration in its desperation to reinvent itself for the post-Brexit world: after town of culture, who knows what will follow—village of culture?
2020	1	国家指称	the UK	A cynic might speculate that the UK is on the verge of disappearing into an endless fever of self-celebration in its desperation to reinvent itself for the post-Brexit world: after town of culture, who knows what will follow—village of culture?
2020	1	福利/NHS	benefits	A badly run “year of culture” washes in and washes out of a place like the tide, bringing prominence for a spell but leaving no lasting benefits to the community.
2020	1	媒体/公共机构	press	The really successful holders of such titles are those that do a great deal more than fill hotel bedrooms and bring in high-profile arts events and good press for a year.
2020	2	国家指称	Britain	In Britain the move towards open access publishing has been driven by funding bodies.
2020	2	国家指称	British	More than half of all British scientific research is now published under open access terms: either freely available from the moment of publication, or paywalled for a year or more so that the publishers can make a profit before being placed on general release.
2020	3	福利/NHS	benefits	But all too often such policies are an insincere form of virtue-signaling that benefits only the most privileged and does little to help average people.
2020	3	阶级/精英教育	elite	In order to ensure that elite women have more such opportunities, they have proposed imposing government quotas.
2020	3	阶级/精英教育	elite	Writing in The New Republic, Alice Lee notes that increasing the number of opportunities for board membership without increasing the pool of qualified women to serve on such boards has led to a “golden skirt” phenomenon, where the same elite women scoop up multiple seats on a variety of boards.
2020	4	国家指称	Britain	They have included Britain’s DPT.
2020	4	帝国/殖民	India	(diverted profits tax), Australia’s MAAL (multinational anti-avoidance law), and India’s SEP (significant economic presence) test, to name but a few.
2020	4	脱欧	European Union	At the same time, the European Union, Spain, Britain and several other countries have all seriously contemplated digital services taxes.
2020	4	国家指称	Britain	At the same time, the European Union, Spain, Britain and several other countries have all seriously contemplated digital services taxes.
2021	1	国家指称	Britain	This should form part of a wider package of measures to address the long-running problems on Britain’s railways.
2021	2	阶级/精英教育	inequality	Called conditional cash transfers or CCTs, these social assistance programs are designed to reduce inequality and break the cycle of poverty.
2022	2	阶级/精英教育	social mobility	Education was no longer a secure route of social mobility.
2022	2	国家指称	the UK	Today, 28 per cent of graduates in the UK are in non-graduate roles, a percentage which is double the average among the OECD countries.
2023	2	国家指称	England	Communities throughout New England have been attempting to regulate short-term rentals since sites like Airbnb took off in the 2010s.
2023	3	国家指称	the UK	If you’re heading for your nearest branch of Waterstones, the biggest book retailer in the UK, in search of the Duchess of Sussex’s new children’s book The Bench, you might have to be prepared to hunt around a bit; the same may be true of The President’s Daughter, the new thriller by Bill Clinton and James Patterson.
2023	3	国家指称	the UK	PRH declined to comment on the issue, but a spokesperson for Waterstones told me: “Waterstones are currently operating with reduced credit terms from PRH, the only publisher in the UK to place any limitations on our ability to trade.
2024	1	苏格兰/权力下放	Scotland	Nearly 2,000 years ago, as the Romans began to pull out of Scotland, they left behind a curious treasure: 10 tons of nails, nearly a million of the things.
2024	1	媒体/公共机构	press	The Gutenberg printing press transformed civilisation not by changing the nature of writing but by changing its cost—and it would have achieved little without a parallel collapse in the price of surfaces to write on, thanks to an often-overlooked technology called paper.
2024	2	阶级/精英教育	Cambridge	According to Dr. Nikhil Chaudhary, an evolutionary anthropologist at Cambridge University, these practices, known as alloparenting, could lead to less anxiety for children and parents.
2024	2	国家指称	the UK	An infant born to a hunter-gatherer society could have more than ten caregivers—this contrasts starkly to nursery settings in the UK where regulations call for a ratio of one carer to four children aged two to three.
2024	2	国家指称	Britain	Chaudhary said that Britain should explore the possibility that older siblings helping their parents “might also enhance their own social development”.
2025	1	阶级/精英教育	grammar school	The grammar school boy from Stratford-upon-Avon has landed a scholarly punch after groundbreaking research showed that Shakespeare does benefit children’s literacy and emotional development.
2025	2	苏格兰/权力下放	Wales	One of the past winners, Professor Martin Green from the University of New South Wales, Australia, is the inventor of the Passivated Emitter and Rear Cell technology which is now found in most of the world’s solar panels.
